AÑO,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,NIVEL,SECTOR,INSCRITOS,DOCENTES,RELACION_ALUMNO_DOCENTE
2016,3,Sacatepéquez,8,San Lucas Sacatepéquez,PRIMARIA DE NIÑOS,PRIVADO,1361,0,
1995,4,Chimaltenango,13,San Andrés Iztapa,PRIMARIA DE NIÑOS,PRIVADO,657,0,
1996,3,Sacatepéquez,7,San Bartolomé Milpas Altas,PRIMARIA DE NIÑOS,OFICIAL,552,0,
2005,13,Huehuetenango,3,Malacatancito,PRIMARIA DE NIÑOS,PRIVADO,144,6,24
2003,18,Izabal,2,Livingston,PRIMARIA DE NIÑOS,OFICIAL,10540,306,34.444444
2009,3,Sacatepéquez,2,Jocotenango,PRIMARIA DE NIÑOS,OFICIAL,1637,52,31.480769
2014,13,Huehuetenango,17,Santa Eulalia,PRIMARIA DE NIÑOS,OFICIAL,8267,261,31.674329
2016,4,Chimaltenango,12,San Pedro Yepocapa,PRIMARIA DE NIÑOS,PRIVADO,536,0,
1997,3,Sacatepéquez,15,San Antonio Aguas Calientes,PRIMARIA DE NIÑOS,OFICIAL,563,0,
2001,6,Santa Rosa,13,Pueblo Nuevo Viñas,PRIMARIA DE NIÑOS,PRIVADO,209,0,
2002,4,Chimaltenango,3,San Martin Jilotepeque,PRIMARIA DE NIÑOS,OFICIAL,11990,0,
2006,4,Chimaltenango,12,San Pedro Yepocapa,PRIMARIA DE NIÑOS,PRIVADO,435,16,27.1875
2007,17,Petén,11,Melchor De Mencos,PRIMARIA DE NIÑOS,OFICIAL,4691,158,29.689873
2013,10,Suchitepéquez,20,Rio Bravo,PRIMARIA DE NIÑOS,OFICIAL,4550,166,27.409638
1994,5,Escuintla,3,La Democracia,PRIMARIA DE NIÑOS,OFICIAL,2016,0,
2000,10,Suchitepéquez,2,Cuyotenango,PRIMARIA DE NIÑOS,PRIVADO,255,0,
2005,17,Petén,4,San Andrés,PRIMARIA DE NIÑOS,OFICIAL,5374,177,30.361581
2007,9,Quetzaltenango,3,Olintepeque,PRIMARIA DE NIÑOS,PRIVADO,293,12,24.416666
2005,12,San Marcos,16,Catarina,PRIMARIA DE NIÑOS,OFICIAL,4970,160,31.0625
1993,1,Guatemala,6,Chinautla,PRIMARIA DE NIÑOS,PRIVADO,1555,0,
2002,18,Izabal,2,Livingston,PRIMARIA DE NIÑOS,PRIVADO,912,0,
2005,6,Santa Rosa,4,Casillas,PRIMARIA DE NIÑOS,OFICIAL,4451,136,32.727941
2008,20,Chiquimula,6,Olopa,PRIMARIA DE NIÑOS,MUNICIPAL,30,2,15
2016,12,San Marcos,14,San José El Rodeo,PRIMARIA DE NIÑOS,PRIVADO,25,0,
1995,12,San Marcos,11,San Rafael Pié De La Cuesta,PRIMARIA DE NIÑOS,OFICIAL,2214,0,
2002,21,Jalapa,1,Jalapa,PRIMARIA DE NIÑOS,OFICIAL,20018,0,
1998,6,Santa Rosa,10,Santa María Ixhuatán,PRIMARIA DE NIÑOS,PRIVADO,88,0,
1999,1,Guatemala,7,San Pedro Ayampuc,PRIMARIA DE NIÑOS,OFICIAL,4528,0,
2006,8,Totonicapán,8,San Bartolo Aguas Calientes,PRIMARIA DE NIÑOS,MUNICIPAL,22,6,3.666666
2009,11,Retalhuleu,2,San Sebastián,PRIMARIA DE NIÑOS,OFICIAL,4693,162,28.969135
2012,21,Jalapa,1,Jalapa,PRIMARIA DE NIÑOS,PRIVADO,1358,90,15.088888
2012,18,Izabal,1,Puerto Barrios,PRIMARIA DE NIÑOS,OFICIAL,14421,593,24.318718
1999,19,Zacapa,9,La Unión,PRIMARIA DE NIÑOS,OFICIAL,3036,0,
2006,12,San Marcos,14,San José El Rodeo,PRIMARIA DE NIÑOS,OFICIAL,3298,97,34
2008,9,Quetzaltenango,22,Flores Costa Cuca,PRIMARIA DE NIÑOS,PRIVADO,40,3,13.333333
2016,7,Sololá,9,San Andrés Semetabaj,PRIMARIA DE NIÑOS,OFICIAL,1946,0,
2015,22,Jutiapa,15,Pasaco,PRIMARIA DE NIÑOS,PRIVADO,12,1,12
1995,13,Huehuetenango,21,Tectitán,PRIMARIA DE NIÑOS,OFICIAL,862,0,
2005,5,Escuintla,10,Iztapa,PRIMARIA DE NIÑOS,OFICIAL,2419,79,30.620253
2006,12,San Marcos,13,El Tumbador,PRIMARIA DE NIÑOS,MUNICIPAL,28,1,28
1994,22,Jutiapa,12,Jalpatagua,PRIMARIA DE NIÑOS,PRIVADO,153,0,
2001,9,Quetzaltenango,12,San Martín Sacatepéquez,PRIMARIA DE NIÑOS,OFICIAL,4689,0,
2012,4,Chimaltenango,3,San Martin Jilotepeque,PRIMARIA DE NIÑOS,PRIVADO,380,31,12.258064
2014,20,Chiquimula,9,Quezaltepéque,PRIMARIA DE NIÑOS,PRIVADO,285,33,8.636363
2016,13,Huehuetenango,24,San Antonio Huista,PRIMARIA DE NIÑOS,PRIVADO,75,0,
2007,13,Huehuetenango,5,Nentón,PRIMARIA DE NIÑOS,OFICIAL,5801,172,33.726744
2010,12,San Marcos,21,La Reforma,PRIMARIA DE NIÑOS,PRIVADO,43,3,14.333333
2010,16,Alta Verapaz,11,Lanquín,PRIMARIA DE NIÑOS,OFICIAL,5346,207,25.826086
1992,10,Suchitepéquez,10,San Antonio Suchitepéquez,PRIMARIA DE NIÑOS,OFICIAL,3739,0,
2003,13,Huehuetenango,11,La Libertad,PRIMARIA DE NIÑOS,OFICIAL,5581,151,36.960264
2010,22,Jutiapa,14,Moyuta,PRIMARIA DE NIÑOS,PRIVADO,272,21,12.95238
1992,8,Totonicapán,3,San Francisco El Alto,PRIMARIA DE NIÑOS,PRIVADO,280,0,
2007,11,Retalhuleu,7,Champerico,PRIMARIA DE NIÑOS,PRIVADO,539,28,19.25
2012,12,San Marcos,26,Sipacapa,PRIMARIA DE NIÑOS,OFICIAL,4364,158,27.620253
1997,3,Sacatepéquez,13,San Miguel Dueñas,PRIMARIA DE NIÑOS,OFICIAL,970,0,
1998,14,Quiché,1,Santa Cruz Del Quiché,PRIMARIA DE NIÑOS,PRIVADO,1153,0,
2008,15,Baja Verapaz,2,San Miguel Chicaj,PRIMARIA DE NIÑOS,PRIVADO,157,8,19.625
2013,5,Escuintla,8,Guanagazapa,PRIMARIA DE NIÑOS,MUNICIPAL,0,0,
2016,7,Sololá,13,San Lucas Tolimán,PRIMARIA DE NIÑOS,OFICIAL,3882,0,
2004,10,Suchitepéquez,15,Santa Bárbara,PRIMARIA DE NIÑOS,PRIVADO,191,6,31.833333
2000,9,Quetzaltenango,23,La Esperanza,PRIMARIA DE NIÑOS,PRIVADO,304,0,
2008,14,Quiché,13,Nebaj,PRIMARIA DE NIÑOS,PRIVADO,451,24,18.791666
2002,5,Escuintla,10,Iztapa,PRIMARIA DE NIÑOS,OFICIAL,2272,0,
1993,5,Escuintla,3,La Democracia,PRIMARIA DE NIÑOS,OFICIAL,2037,0,
2001,14,Quiché,1,Santa Cruz Del Quiché,PRIMARIA DE NIÑOS,OFICIAL,9723,0,
2005,7,Sololá,15,San Pablo La Laguna,PRIMARIA DE NIÑOS,PRIVADO,180,6,30
2005,9,Quetzaltenango,22,Flores Costa Cuca,PRIMARIA DE NIÑOS,PRIVADO,23,2,11.5
2015,14,Quiché,3,Chinique,PRIMARIA DE NIÑOS,OFICIAL,2169,165,13.145454
2005,15,Baja Verapaz,2,San Miguel Chicaj,PRIMARIA DE NIÑOS,PRIVADO,161,12,13.416666
1996,20,Chiquimula,4,Jocotán,PRIMARIA DE NIÑOS,PRIVADO,433,0,
1996,17,Petén,5,La Libertad,PRIMARIA DE NIÑOS,OFICIAL,7552,0,
1999,4,Chimaltenango,3,San Martin Jilotepeque,PRIMARIA DE NIÑOS,PRIVADO,434,0,
2005,20,Chiquimula,9,Quezaltepéque,PRIMARIA DE NIÑOS,OFICIAL,4882,195,25.035897
2014,10,Suchitepéquez,5,San José El Ídolo,PRIMARIA DE NIÑOS,OFICIAL,1671,86,19.430232
2014,10,Suchitepéquez,20,Rio Bravo,PRIMARIA DE NIÑOS,OFICIAL,4353,165,26.381818
2014,21,Jalapa,3,San Luis Jilotepéque,PRIMARIA DE NIÑOS,OFICIAL,2925,208,14.0625
2007,12,San Marcos,15,Malacatán,PRIMARIA DE NIÑOS,PRIVADO,1089,53,20.547169
2010,10,Suchitepéquez,19,Pueblo Nuevo,PRIMARIA DE NIÑOS,OFICIAL,1802,76,23.710526
1996,19,Zacapa,10,Huité,PRIMARIA DE NIÑOS,MUNICIPAL,22,0,
2000,16,Alta Verapaz,9,San Pedro Carchá,PRIMARIA DE NIÑOS,PRIVADO,834,0,
2000,20,Chiquimula,2,San José La Arada,PRIMARIA DE NIÑOS,OFICIAL,1315,0,
2003,9,Quetzaltenango,11,Concepción Chiquirichapa,PRIMARIA DE NIÑOS,PRIVADO,258,10,25.8
2011,15,Baja Verapaz,4,Cubulco,PRIMARIA DE NIÑOS,PRIVADO,167,10,16.7
1999,10,Suchitepéquez,3,San Francisco Zapotitlán,PRIMARIA DE NIÑOS,OFICIAL,2033,0,
1997,12,San Marcos,13,El Tumbador,PRIMARIA DE NIÑOS,MUNICIPAL,37,0,
2006,21,Jalapa,2,San Pedro Pinula,PRIMARIA DE NIÑOS,PRIVADO,20,2,10
1996,1,Guatemala,7,San Pedro Ayampuc,PRIMARIA DE NIÑOS,OFICIAL,3957,0,
1996,21,Jalapa,6,Monjas,PRIMARIA DE NIÑOS,OFICIAL,3286,0,
2003,13,Huehuetenango,7,Jacaltenango,PRIMARIA DE NIÑOS,OFICIAL,7258,256,28.351562
2006,14,Quiché,12,Joyabaj,PRIMARIA DE NIÑOS,MUNICIPAL,85,3,28.333333
2006,17,Petén,5,La Libertad,PRIMARIA DE NIÑOS,PRIVADO,488,31,15.741935
1996,13,Huehuetenango,27,Aguacatán,PRIMARIA DE NIÑOS,OFICIAL,4058,0,
2001,6,Santa Rosa,11,Guazacapán,PRIMARIA DE NIÑOS,MUNICIPAL,0,0,
2000,6,Santa Rosa,8,Chiquimulilla,PRIMARIA DE NIÑOS,MUNICIPAL,283,0,
2009,12,San Marcos,15,Malacatán,PRIMARIA DE NIÑOS,MUNICIPAL,57,2,28.5
2015,17,Petén,2,San José,PRIMARIA DE NIÑOS,OFICIAL,1238,67,18.477611
1994,12,San Marcos,4,Comitancillo,PRIMARIA DE NIÑOS,PRIVADO,75,0,
1997,9,Quetzaltenango,7,Cajolá,PRIMARIA DE NIÑOS,OFICIAL,1008,0,
2001,19,Zacapa,9,La Unión,PRIMARIA DE NIÑOS,OFICIAL,3417,0,
2001,13,Huehuetenango,19,Colotenango,PRIMARIA DE NIÑOS,PRIVADO,319,0,
2005,5,Escuintla,12,San Vicente Pacaya,PRIMARIA DE NIÑOS,PRIVADO,60,5,12
